ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,А基[5],А基[20],А基[60],А基[120],А秖[5],А秖[20],А秖[60],А秖[120]
20181122,50.4,50.5,50,50.4,5647,0,0,0,0,0,0,0,0
20181123,50,50.3,49.9,49.95,9138,0,0,0,0,0,0,0,0
20181126,49.75,50.5,49.4,49.55,24053,0,0,0,0,0,0,0,0
20181127,49.4,49.5,49,49.05,14822,0,0,0,0,0,0,0,0
20181128,49.05,49.3,48.6,48.8,25196,49.55,0,0,0,15771,0,0,0
20181129,49.35,49.35,48.55,48.55,19756,49.18□,0,0,0,18593◆,0,0,0
20181130,48.55,48.95,48.5,48.55,24976,48.90□,0,0,0,21761◆,0,0,0
20181203,49,49.2,49,49.1,11951,48.81□,0,0,0,19340□,0,0,0
20181204,48.1,48.95,48.1,48.95,17402,48.79□,0,0,0,19856◆,0,0,0
20181205,48.45,48.8,48.15,48.4,13828,48.71□,0,0,0,17583□,0,0,0
20181206,48.4,48.45,47.95,48.25,16143,48.65□,0,0,0,16860□,0,0,0
20181207,48.45,48.45,48,48.15,8819,48.57□,0,0,0,13629□,0,0,0
20181210,47.6,47.8,47.5,47.6,10909,48.27□,0,0,0,13420□,0,0,0
20181211,47.55,47.75,47.45,47.6,10163,48.00□,0,0,0,11973□,0,0,0
20181212,47.95,48,47.2,47.5,28612,47.82□,0,0,0,14929◆,0,0,0
20181213,47.65,48.25,47.6,48.25,14012,47.82,0,0,0,14503□,0,0,0
20181214,47.9,47.9,47.55,47.55,18820,47.70□,0,0,0,16503◆,0,0,0
20181217,47.85,47.95,47.55,47.7,7687,47.72◆,0,0,0,15859□,0,0,0
20181218,47.5,47.6,47.1,47.2,14990,47.64□,0,0,0,16824◆,0,0,0
20181219,47.45,47.45,46.8,47.25,13858,47.59□,48.42,0,0,13874□,15539,0,0
20181220,47.25,47.7,46.9,47,14637,47.34□,48.25□,0,0,13999◆,15989◆,0,0
20181221,46.9,47,46.8,46.95,15241,47.22□,48.10□,0,0,13283□,16294◆,0,0
20181222,47,47,46.85,46.85,1926,47.05□,47.96□,0,0,12131□,15188□,0,0
20181224,46.7,46.8,46.2,46.5,11796,46.91□,47.84□,0,0,11492□,15036□,0,0
20181225,46,46.1,45.9,46,8933,46.66□,47.70□,0,0,10507□,14223□,0,0
20181226,46.05,46.4,46,46,4527,46.46□,47.57□,0,0,8485□,13462□,0,0
20181227,46.5,46.7,46.3,46.7,7727,46.41□,47.48□,0,0,6982□,12599□,0,0
20181228,46.75,47,46.4,47,7623,46.44◆,47.37□,0,0,8121◆,12383□,0,0
20190102,47.2,47.25,45.9,45.9,12378,46.32□,47.22□,0,0,8238◆,12132□,0,0
20190103,45.8,45.85,45.15,45.15,17486,46.15□,47.06□,0,0,9948◆,12314◆,0,0
20190104,44.7,44.95,44.3,44.55,16093,45.86□,46.87□,0,0,12262◆,12312□,0,0
20190107,45.1,45.55,44.95,45.2,17291,45.56□,46.72□,0,0,14174◆,12736◆,0,0
20190108,45.55,45.6,45.1,45.15,7581,45.19□,46.60□,0,0,14166□,12569□,0,0
20190109,45.6,46.1,45.35,45.95,24370,45.20◆,46.52□,0,0,16564◆,13280◆,0,0
20190110,45.95,46,45.8,45.85,12145,45.34◆,46.44□,0,0,15496□,12456□,0,0
20190111,45.8,46,45.5,45.55,14941,45.54◆,46.30□,0,0,15266□,12503◆,0,0
20190114,45.15,45.15,44.4,44.4,23292,45.38□,46.14□,0,0,16466◆,12726◆,0,0
20190115,44.4,44.4,43.7,43.75,37897,45.10□,45.95□,0,0,22529◆,14237◆,0,0
20190116,43.75,43.85,43.35,43.6,33018,44.63□,45.77□,0,0,24259◆,15138◆,0,0
20190117,43.55,43.95,43.5,43.8,22852,44.22□,45.59□,0,0,26400◆,15588◆,0,0
20190118,43.9,43.9,43.35,43.5,24975,43.81□,45.42□,0,0,28407◆,16105◆,0,0
20190121,43.65,44,43.6,43.8,16839,43.69□,45.26□,0,0,27116□,16185◆,0,0
20190122,43.9,44.3,43.9,44.2,18065,43.78◆,45.13□,0,0,23150□,16992◆,0,0
20190123,43.8,44.05,43.75,43.75,15414,43.81◆,44.99□,0,0,19629□,17172◆,0,0
20190124,43.8,43.9,43.5,43.55,16896,43.76□,44.87□,0,0,18438□,17571◆,0,0
20190125,43.55,43.8,43.5,43.5,21456,43.76,44.74□,0,0,17734□,18417◆,0,0
20190128,43.6,43.8,43.35,43.8,25571,43.76,44.60□,0,0,19481◆,19309◆,0,0
20190129,43.7,43.9,43.55,43.9,17230,43.70□,44.44□,0,0,19314□,19790◆,0,0
20190130,43.85,43.9,43.6,43.6,28600,43.67□,44.33□,0,0,21951◆,20601◆,0,0
20190211,43.85,44,43.55,43.55,22219,43.67,44.25□,0,0,23015◆,20837◆,0,0
20190212,43.6,44.2,43.55,43.9,22544,43.75◆,44.22□,0,0,23233◆,21160◆,0,0
20190213,43.95,44.4,43.9,44.3,19836,43.85◆,44.17□,0,0,22086□,21287◆,0,0
20190214,44.3,44.7,44.25,44.55,20413,43.98◆,44.14□,0,0,22723◆,21929◆,0,0
20190215,44.55,44.65,44.2,44.2,14020,44.10◆,44.05□,0,0,19807□,21411□,0,0
20190218,44.3,44.65,44.3,44.4,18496,44.27◆,43.98□,0,0,19062□,21729◆,0,0
20190219,44.65,44.7,44.5,44.6,10310,44.41◆,43.93□,0,0,16615□,21497□,0,0
20190220,44.75,45.2,44.7,45.15,17442,44.58◆,43.97◆,0,0,16136□,21205□,0,0
20190221,45.15,45.4,45,45.4,14763,44.75◆,44.05◆,0,0,15006□,20048□,0,0
20190222,45.3,45.4,45.1,45.4,12861,44.99◆,44.14◆,0,0,14775□,19040□,0,0
20190225,45.45,45.6,45.4,45.55,11315,45.22◆,44.23◆,46.08,0,13338□,18463□,16530,0
20190226,45.6,45.65,45.5,45.5,15227,45.40◆,44.33◆,46.00□,0,14322◆,17976□,16690◆,0
20190227,45.5,45.55,45.05,45.3,21577,45.43◆,44.41◆,45.92□,0,15149◆,18213◆,16897◆,0
20190304,43.95,45,43.95,44.9,33673,45.33□,44.44◆,45.84□,0,18931◆,18993◆,17057◆,0
20190305,44.7,45.05,44.6,44.6,14491,45.17□,44.48◆,45.77□,0,19257◆,18947□,17052□,0
20190306,44.9,45,44.75,44.95,9662,45.05□,44.55◆,45.71□,0,18926□,18585□,16793□,0
20190307,44.9,44.9,44.55,44.65,16024,44.88□,44.61◆,45.64□,0,19086◆,18314□,16731□,0
20190308,44.6,44.65,44.4,44.45,11329,44.71□,44.64◆,45.57□,0,17036□,17602□,16503□,0
20190311,44.45,44.7,44.3,44.4,12359,44.61□,44.67◆,45.49□,0,12773□,17358□,16510◆,0
20190312,44.8,45.2,44.75,45,15548,44.69◆,44.74◆,45.43□,0,12985◆,16706□,16479□,0
20190313,45,45.2,45,45.15,8213,44.73◆,44.82◆,45.37□,0,12695□,16005□,16386□,0
20190314,45.2,45.3,45.05,45.1,9443,44.82◆,44.88◆,45.32□,0,11379□,15350□,16274□,0
20190315,45.2,45.5,45.05,45.45,23516,45.02◆,44.94◆,45.28□,0,13816◆,15534◆,16519◆,0
20190318,45.5,45.8,45.5,45.8,14219,45.30◆,45.00◆,45.25□,0,14188◆,15225□,16574◆,0
20190319,46,46.8,46,46.65,29504,45.63◆,45.12◆,45.23□,0,16979◆,15999◆,16896◆,0
20190320,46.9,47,46.7,46.95,21646,45.99◆,45.25◆,45.22□,0,19666◆,16156◆,16780□,0
20190321,47,47,46.5,46.75,14260,46.32◆,45.36◆,45.20□,0,20629◆,16354◆,16785◆,0
20190322,46.75,46.75,45.9,46.2,25365,46.47◆,45.41◆,45.17□,0,20999◆,16750◆,16894◆,0
20190325,45.45,45.5,45.3,45.4,18144,46.39□,45.41,45.14□,0,21784◆,16919◆,17068◆,0
20190326,45.4,45.55,45.15,45.25,17450,46.11□,45.40□,45.10□,0,19373□,17148◆,17109◆,0
20190327,45,45,44.5,44.5,29316,45.62□,45.35□,45.06□,0,20907◆,18048◆,17367◆,0
20190328,44.3,44.3,44,44,35204,45.07□,45.27□,45.01□,0,25096◆,19047◆,17709◆,0
20190329,44.15,44.95,44.1,44.95,22626,44.82□,45.26□,44.97□,0,24548□,19100◆,17832◆,0
20190401,44.95,45.1,44.5,44.5,14859,44.64□,45.24□,44.94□,0,23891□,18159□,18048◆,0
20190402,44.9,45.1,44.75,44.8,10135,44.55□,45.25◆,44.91□,0,22428□,17941□,18020□,0
20190403,45,45,44.75,44.8,12584,44.61◆,45.24□,44.89□,0,19082□,18087◆,18081◆,0
20190408,44.7,44.7,44.3,44.3,35655,44.67◆,45.22□,44.86□,0,19172◆,19069◆,18600◆,0
20190409,44.2,44.45,44.15,44.3,27003,44.54□,45.21□,44.82□,0,20047◆,19853◆,18921◆,0
20190410,44.2,44.4,44.1,44.2,21800,44.48□,45.20□,44.77□,0,21436◆,20325◆,19157◆,0
20190411,44.35,44.7,44.15,44.15,23925,44.35□,45.16□,44.74□,0,24194◆,20743◆,19350◆,0
20190412,44.15,44.3,44.1,44.1,14959,44.21□,45.11□,44.73□,0,24669◆,21081◆,19308□,0
20190415,44.35,44.35,44.15,44.15,15782,44.18□,45.06□,44.72□,0,20694□,21398◆,19303□,0
20190416,44.1,44.15,44,44.1,20029,44.14□,44.99□,44.70□,0,19299□,21223□,19348◆,0
20190417,44.1,44.25,44,44.1,18269,44.12□,44.91□,44.68□,0,18593□,21426◆,19526◆,0
20190418,44.15,44.2,44,44.2,14903,44.13◆,44.79□,44.65□,0,16789□,20696□,19369□,0
20190419,44.4,44.5,44.3,44.35,7925,44.18◆,44.66□,44.63□,0,15382□,20010□,19298□,0
20190422,44.55,44.55,44.35,44.35,5188,44.22◆,44.54□,44.61□,0,13263□,19556□,19136□,0
20190423,44.4,44.4,44.2,44.35,9716,44.27◆,44.44□,44.61□,0,11200□,18774□,18909□,0
20190424,44.5,44.5,44.3,44.3,8205,44.31◆,44.39□,44.62◆,0,9188□,18277□,18415□,0
20190425,44.45,44.6,44.35,44.35,13487,44.34◆,44.34□,44.63◆,0,8904□,18079□,18089□,0
20190426,44.35,44.5,44.3,44.5,8644,44.37◆,44.34,44.64◆,0,9048◆,17045□,17852□,0
20190429,44.4,44.8,44.4,44.6,13797,44.42◆,44.37◆,44.66◆,0,10770◆,15975□,17666□,0
20190430,44.7,44.8,44.5,44.7,13063,44.49◆,44.36□,44.67◆,0,11439◆,15497□,17603□,0
20190502,44.7,45.65,44.7,45.65,32194,44.76◆,44.42◆,44.70◆,0,16237◆,16363◆,17839◆,0
20190503,45.65,45.7,45.15,45.45,23856,44.98◆,44.45◆,44.73◆,0,18311◆,17049◆,17979◆,0
20190506,44.65,44.7,44.3,44.5,23932,44.98,44.44□,44.74◆,0,21369◆,17617◆,18096◆,0
20190507,44.6,44.6,44.35,44.35,14252,44.93□,44.44◆,44.76◆,0,21460◆,16547□,17976□,0
20190508,44.15,44.2,44,44.05,16227,44.80□,44.43□,44.76◆,0,22092◆,16008□,17821□,0
20190509,44,44,43.5,43.5,31872,44.37□,44.39□,44.75□,0,22028□,16511◆,18065◆,0
20190510,43.6,43.75,43.2,43.2,22918,43.92□,44.34□,44.75□,0,21840□,16461□,17970□,0
20190513,43.1,43.15,41.95,41.95,40788,43.41□,44.24□,44.72□,0,25212◆,17752◆,18279◆,0
20190514,40.1,40.65,40.1,40.45,75871,42.63□,44.05□,44.66□,0,37535◆,20757◆,19168◆,0
20190515,40.55,41.4,40.55,40.95,26385,42.01□,43.89□,44.61□,0,39567◆,21075◆,19277◆,0
20190516,40.9,40.95,40,40,35172,41.31□,43.69□,44.53□,0,40227◆,21920◆,19523◆,0
20190517,40.2,40.45,39.9,40,29414,40.67□,43.48□,44.46□,0,41526◆,22645◆,19780◆,0
20190520,40.25,40.45,40.1,40.2,15666,40.32□,43.27□,44.39□,0,36502□,23032◆,19733□,0
20190521,40.5,41.5,40.1,41.5,29070,40.53◆,43.13□,44.34□,0,27142□,24227◆,20045◆,0
20190522,41.25,41.25,40.9,41.15,17564,40.57◆,42.97□,44.27□,0,25377□,24619◆,20048◆,0
20190523,41,41.15,40.8,41,12951,40.77◆,42.80□,44.20□,0,20933□,24856◆,20017□,0
20190524,41,41.2,40.6,40.6,18874,40.89◆,42.62□,44.12□,0,18825□,25126◆,20118◆,0
20190527,40.65,41,40.5,40.75,9359,41.00◆,42.43□,44.04□,45.06,17564□,25161◆,20085□,18308
20190528,40.75,40.9,40.35,40.35,87685,40.77□,42.22□,43.95□,44.98□,29287◆,28856◆,21293◆,18991◆
20190529,40.35,40.5,40.3,40.3,13413,40.60□,42.00□,43.87□,44.90□,28457□,28873◆,21156□,19027◆
20190530,40.3,40.6,40.3,40.5,13684,40.50□,41.74□,43.80□,44.82□,28603◆,27948□,20823□,18940□
20190531,40.55,41.1,40.5,40.8,21222,40.54◆,41.51□,43.73□,44.75□,29073◆,27816□,20936◆,18994◆
20190603,40.85,41.2,40.5,41.05,9151,40.60◆,41.33□,43.67□,44.69□,29031□,27077□,20927□,18860□
20190604,41.65,41.65,41.25,41.45,15857,40.82◆,41.19□,43.62□,44.63□,14666□,27157◆,20924□,18828□
20190605,41.55,41.6,41.1,41.1,12686,40.98◆,41.04□,43.56□,44.57□,14520□,26980□,20947◆,18725□
20190606,41,41,40.65,40.75,11848,41.03◆,40.90□,43.50□,44.50□,14153□,25979□,20938□,18724□
20190610,41.3,41.45,41,41.35,17023,41.14◆,40.81□,43.44□,44.43□,13313□,25684□,20963◆,18721□
20190611,41.4,42.1,41.4,42.1,24028,41.35◆,40.82◆,43.39□,44.38□,16289◆,24846□,21226◆,18806◆
20190612,42.05,42.1,41.75,41.9,11525,41.44◆,40.89◆,43.33□,44.33□,15422□,21629□,21261◆,18768□
20190613,41.85,41.85,41.35,41.65,14449,41.55◆,40.93◆,43.27□,44.27□,15775◆,21032□,21110□,18815◆
20190614,41.55,41.55,41.3,41.3,9772,41.66◆,40.99◆,43.20□,44.22□,15360□,19762□,21036□,18805□
20190617,41.3,41.9,41.25,41.65,9777,41.72◆,41.07◆,43.11□,44.17□,13910□,18780□,20707□,18802□
20190618,41.8,42.2,41.75,42.2,12660,41.74◆,41.17◆,43.03□,44.13□,11637□,18630□,20557□,18669□
20190619,42.25,42.6,42.2,42.55,19508,41.87◆,41.23◆,42.96□,44.08□,13233◆,18152□,20645◆,18715◆
20190620,42.7,42.7,42.3,42.55,12030,42.05◆,41.30◆,42.90□,44.04□,12750□,17875□,20423□,18658□
20190621,42.55,42.55,42.3,42.3,15034,42.25◆,41.36◆,42.85□,43.99□,13802◆,17979◆,20371□,18719◆
20190624,42.3,42.55,42.05,42.55,10486,42.43◆,41.46◆,42.81□,43.95□,13944◆,17560□,20255□,18682□
20190625,42.55,42.7,42.45,42.6,9529,42.51◆,41.55◆,42.77□,43.92□,13318□,17568◆,19925□,18646□
20190626,42.7,42.9,42.6,42.75,11779,42.55◆,41.67◆,42.75□,43.88□,11772□,13773□,19535□,18622□
20190627,42.75,43.35,42.75,43.2,28082,42.68◆,41.82◆,42.72□,43.85□,14982◆,14507◆,19625◆,18729◆
20190628,43.2,43.4,43,43,30580,42.82◆,41.94◆,42.70□,43.82□,18091◆,15351◆,19887◆,18968◆
20190701,42,42.7,42,42.7,29067,42.85◆,42.04◆,42.66□,43.79□,21808◆,15744◆,20203◆,19112◆
20190702,42.6,42.8,42.3,42.65,14894,42.86◆,42.12◆,42.63□,43.76□,22881◆,16031◆,20242◆,19161◆
20190703,42.55,42.55,42.2,42.25,15246,42.76□,42.16◆,42.59□,43.73□,23574◆,16000□,19901□,19251◆
20190704,42.45,42.8,42.3,42.5,10815,42.62□,42.23◆,42.56□,43.69□,20121□,15907□,19632□,19276◆
20190705,42.55,42.6,42.2,42.35,9141,42.49□,42.31◆,42.53□,43.65□,15833□,15771□,19421□,19289◆
20190708,42.2,42.3,41.8,41.95,13801,42.34□,42.34◆,42.50□,43.62□,12780□,15610□,19252□,19301◆
20190709,42,42.05,41.7,41.85,8899,42.18□,42.32□,42.46□,43.59□,11581□,14854□,19151□,19229□
20190710,42.1,42.25,41.9,42.2,13592,42.17□,42.34◆,42.43□,43.57□,11250□,14957◆,19114□,19208□
20190711,42.2,42.25,41.9,41.95,10318,42.06□,42.35◆,42.39□,43.55□,11150□,14751□,18952□,19150□
20190712,41.9,41.95,41.6,41.6,14116,41.91□,42.37◆,42.35□,43.52□,12145◆,14968◆,18883□,19205◆
20190715,41.65,41.9,41.5,41.65,13048,41.85□,42.37,42.31□,43.48□,11995□,15131◆,18852□,19110□
