ら 戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,А基[5],А基[20],А基[60],А基[120],А秖[5],А秖[20],А秖[60],А秖[120]
20201125,112,112.5,110,110.5,1850,110.50◆,111.83□,121.96□,122.33□,2180□,2875□,3625□,7257□
20201126,111,115,110.5,115,4692,111.60◆,111.70□,121.71□,122.29□,2813◆,2995◆,3600□,7198□
20201127,115,116.5,114.5,116,3835,112.80◆,111.83◆,121.35□,122.24□,2939◆,2995□,3065□,7170□
20201130,116,116,113.5,113.5,2702,113.30◆,111.98◆,121.01□,122.18□,2927□,2900□,2918□,7123□
20201201,115,118.5,114.5,118,7478,114.60◆,112.13◆,120.78□,122.15□,4112◆,3126◆,2922◆,7136◆
20201202,119.5,120,117,118.5,5514,116.20◆,112.20◆,120.51□,122.14□,4844◆,3193◆,2858□,7132□
20201203,118.5,118.5,116,116.5,3103,116.50◆,112.18□,120.26□,122.17◆,4527□,3256◆,2823□,7055□
20201204,117,117.5,115,115.5,3380,116.40□,112.23◆,120.02□,122.20◆,4436□,3313◆,2825◆,7025□
20201207,116,119,116,118.5,5485,117.40◆,112.60◆,119.80□,122.26◆,4992◆,3221□,2860◆,7027◆
20201208,118.5,119.5,117,117.5,3889,117.30□,112.98◆,119.58□,122.31◆,4274□,3260◆,2884◆,6988□
20201209,117.5,118.5,116,116.5,4690,116.90□,113.25◆,119.37□,122.38◆,4110□,3408◆,2929◆,6955□
20201210,116.5,116.5,114,114,2953,116.40□,113.48◆,119.08□,122.38,4080□,3447◆,2878□,6898□
20201211,114.5,115,110.5,112.5,2855,115.80□,113.70◆,118.72□,122.39◆,3975□,3415□,2816□,6873□
20201214,112,113.5,112,112,1782,114.50□,113.83◆,118.34□,122.41◆,3234□,3401□,2794□,6852□
20201215,112,112.5,108,109,2840,112.80□,113.78□,117.93□,122.40□,3024□,3404◆,2758□,6855◆
20201216,110,112.5,110,112,1440,111.90□,113.88◆,117.57□,122.4,2374□,3377□,2754□,6832□
20201217,112,113,111,111.5,1350,111.40□,113.98◆,117.25□,122.41◆,2054□,3368□,2742□,6816□
20201218,111.5,112.5,110.5,111,1065,111.10□,114.03◆,116.94□,122.40□,1696□,3261□,2722□,6797□
20201221,112,112.5,109.5,111.5,1566,111.00□,114.05◆,116.66□,122.36□,1652□,3201□,2717□,6736□
20201222,111.5,114.5,111,111,2456,111.40◆,114.03□,116.47□,122.33□,1576□,3246◆,2665□,6720□
20201223,111,112.5,110.5,112,885,111.4,114.10◆,116.30□,122.26□,1465□,3198□,2621□,6630□
20201224,114,115,113,113,1722,111.70◆,114.00□,116.10□,122.21□,1539◆,3050□,2621◆,6566□
20201225,113.5,115,113.5,114,1425,112.30◆,113.90□,115.92□,122.20□,1611◆,2929□,2621◆,6498□
20201228,114.5,115.5,113.5,114.5,1908,112.90◆,113.95◆,115.75□,122.18□,1679◆,2889□,2636◆,6474□
20201229,115.5,116,114,114,1779,113.50◆,113.75□,115.56□,122.17□,1544□,2604□,2654◆,6446□
20201230,114.5,115.5,114,114.5,1365,114.00◆,113.55□,115.34□,122.20◆,1640◆,2397□,2645□,6419□
20201231,115,115.5,114,114.5,1116,114.30◆,113.45□,115.13□,122.17□,1519□,2298□,2644□,6350□
20210104,115.5,118.5,115.5,117.5,4433,115.00◆,113.55◆,115.00□,122.21◆,2120◆,2350◆,2678◆,6336□
20210105,117.5,121.5,116.5,121.5,8379,116.40◆,113.70◆,114.98□,122.26◆,3415◆,2495◆,2761◆,6311□
20210106,125,127,118,119.5,13623,117.50◆,113.80◆,114.94□,122.24□,5783◆,2982◆,2953◆,6186□
20210107,121,121.5,118.5,119,3139,118.40◆,113.93◆,114.88□,122.25◆,6138◆,2904□,2967◆,6076□
20210108,120,120.5,117.5,117.5,2788,119.00◆,114.10◆,114.82□,122.24□,6473◆,2896□,2993◆,6031□
20210111,118,120,118,119,2505,119.30◆,114.43◆,114.78□,122.15□,6087□,2878□,3012◆,5786□
20210112,120,120,117,117.5,2389,118.50□,114.70◆,114.71□,121.99□,4889□,2909◆,3018◆,5332□
20210113,119,120,118,119.5,2731,118.5,115.23◆,114.64□,121.83□,2711□,2903□,3026◆,5171□
20210114,120,125.5,119,124.5,10231,119.60◆,115.85◆,114.64,121.75□,4129◆,3343◆,3178◆,5054□
20210115,127,127.5,117.5,118.5,8853,119.80◆,116.20◆,114.58□,121.61□,5342◆,3718◆,3296◆,4991□
20210118,119,119.5,115.5,119,2116,119.8,116.60◆,114.53□,121.53□,5264□,3771◆,3311◆,4850□
20210119,120,121,117.5,117.5,2394,119.8,116.90◆,114.49□,121.42□,5265◆,3812◆,3321◆,4790□
20210120,118,118.5,112,112.5,3719,118.40□,116.98◆,114.38□,121.26□,5463◆,3875◆,3354◆,4763□
20210121,113,115,111,112,2157,115.90□,116.98,114.30□,121.05□,3848□,3939◆,3337□,4600□
20210122,113,116.5,112.5,115.5,2776,115.30□,117.10◆,114.27□,120.90□,2633□,3991◆,3345◆,4562□
20210125,116,117.5,114.5,116.5,2651,114.80□,117.23◆,114.32◆,120.74□,2740◆,4053◆,3326□,4517□
20210126,117.5,119,115,115.5,3232,114.40□,117.28◆,114.40◆,120.57□,2907◆,4119◆,3303□,4463□
20210127,116.5,119.5,116,118.5,3654,115.60◆,117.50◆,114.46◆,120.44□,2894□,4213◆,3314◆,4354□
20210128,117,118,115,115.5,3028,116.30◆,117.55◆,114.43□,120.33□,3068◆,4296◆,3295□,4119□
20210129,116,116.5,112,112.5,2242,115.70□,117.45□,114.36□,120.16□,2962□,4352◆,3302◆,4041□
20210201,112,112.5,109.5,111,1244,114.60□,117.13□,114.30□,119.99□,2680□,4193□,3285□,3993□
20210202,111.5,114,111.5,112.5,1197,114.00□,116.68□,114.33◆,119.83□,2273□,3834□,3183□,3957□
20210203,113,113.5,111.5,112,888,112.70□,116.30□,114.36◆,119.65□,1720□,3197□,3146□,3882□
20210204,112,113,111.5,112.5,648,112.10□,115.98□,114.38◆,119.46□,1244□,3072□,3128□,3806□
20210205,113,114,112,112.5,1394,112.1,115.73□,114.43◆,119.28□,1074□,3003□,3115□,3780□
20210217,112.5,112.5,108,108.5,3177,111.60□,115.20□,114.44◆,119.11□,1461◆,3036◆,3110□,3738□
20210218,109.5,111.5,108,109.5,2086,111.00□,114.80□,114.44,119.00□,1639◆,3021□,3110◆,3626□
20210219,109.5,110,108,109.5,1428,110.50□,114.30□,114.43□,118.94□,1747◆,2956□,3088□,3532□
20210222,111,113.5,110,113,2753,110.60◆,113.73□,114.48◆,118.87□,2168◆,2582□,3101◆,3491□
20210223,112,113,110.5,112,2112,110.50□,113.40□,114.53◆,118.78□,2311◆,2245□,3110◆,3471□
20210224,112,113,109,110,2887,110.80◆,112.95□,114.53,118.65□,2253□,2283◆,3105□,3461□
20210225,111,112,110,110.5,1367,111.00◆,112.60□,114.52□,118.53□,2110□,2232□,3082□,3451□
20210226,109,113,109,111.5,2754,111.40◆,112.55□,114.52,118.41□,2375◆,2184□,3102◆,3432□
20210302,113,114,111.5,111.5,2150,111.10□,112.53□,114.53◆,118.25□,2254□,2184□,3107◆,3366□
20210303,112.5,113.5,111.5,113,1331,111.30◆,112.40□,114.50□,118.11□,2098□,2111□,3051□,3325□
20210304,113,117.5,112.5,112.5,4896,111.80◆,112.20□,114.44□,117.90□,2500◆,2224◆,3068◆,3067□
20210305,112,117,111.5,116.5,5179,113.00◆,112.25◆,114.49◆,117.75□,3262◆,2321◆,3110◆,3014□
20210308,119,119.5,113,114.5,4585,113.60◆,112.05□,114.43□,117.61□,3628◆,2367◆,3062□,2992□
20210309,116,124.5,115.5,123,17409,115.90◆,112.43◆,114.51◆,117.51□,6680◆,3086◆,3260◆,3059◆
20210310,124,127,121.5,127,14618,118.70◆,113.15◆,114.68◆,117.47□,9338◆,3705◆,3452◆,3138◆
20210311,126.5,128,125,128,7876,121.80◆,114.00◆,114.89◆,117.46□,9934◆,4037◆,3527◆,3176◆
20210312,129,131,126.5,127,7148,123.90◆,114.73◆,115.03◆,117.42□,10327◆,4334◆,3554◆,3207◆
20210315,128.5,129.5,127,129.5,3418,126.90◆,115.60◆,115.23◆,117.41□,10094□,4461◆,3546□,3215◆
20210316,130.5,131.5,123,123,7997,126.9,116.13◆,115.34◆,117.36□,8212□,4828◆,3602◆,3265◆
20210317,126,126,123,124,4386,126.30□,116.70◆,115.51◆,117.29□,6165□,4978◆,3625◆,3252□
20210318,124.5,127,124.5,126,3792,125.90□,117.58◆,115.73◆,117.23□,5348□,5009◆,3641◆,3228□
20210319,125,126.5,124.5,126,2323,125.70□,118.40◆,115.97◆,117.16□,4383□,5021◆,3650◆,3222□
20210322,126,128,124.5,126.5,2625,125.10□,119.25◆,116.26◆,117.09□,4225□,5080◆,3647□,3202□
20210323,127.5,130.5,126.5,126.5,5930,125.80◆,119.93◆,116.50◆,117.03□,3811□,5239◆,3721◆,3237◆
20210324,126.5,128,125.5,126,1967,126.20◆,120.63◆,116.74◆,117.00□,3328□,5232□,3732◆,3237□
20210325,126.5,130,126,127.5,3529,126.50◆,121.50◆,117.02◆,116.98□,3275□,5264◆,3773◆,3247◆
20210326,129,129,125,126.5,2520,126.60◆,122.30◆,117.27◆,116.96□,3314◆,5322◆,3789◆,3253◆
20210329,128.5,128.5,127,127.5,2018,126.80◆,123.10◆,117.54◆,117.01◆,3193□,5285□,3781□,3223□
20210330,128.5,131,127.5,128,4881,127.10◆,123.93◆,117.81◆,117.06◆,2983□,5422◆,3848◆,3234◆
20210331,127.5,127.5,124.5,125.5,3007,127.00□,124.55◆,118.02◆,117.06◆,3191◆,5505◆,3869◆,3245◆
20210401,126,126.5,123,123.5,2509,126.20□,125.10◆,118.18◆,117.05□,2987□,5386□,3887◆,3254◆
20210406,124,125,123,124,1708,125.70□,125.48◆,118.33◆,117.04□,2825□,5212□,3884□,3260◆
20210407,125.5,126,124,124,1799,125.00□,125.95◆,118.50◆,117.03□,2781□,5073□,3884◆,3269◆
20210408,124,125.5,123.5,125,1501,124.40□,126.05◆,118.68◆,117.01□,2105□,4278□,3887◆,3266□
20210409,125.5,126,123,123,2116,123.90□,125.85□,118.82◆,116.97□,1927□,3653□,3903◆,3274◆
20210412,123.5,124,120,120,3013,123.20□,125.45□,118.86◆,116.93□,2028◆,3409□,3880□,3279◆
20210413,120.5,124,120.5,121,2139,122.60□,125.15□,118.85□,116.92□,2114◆,3159□,3776□,3268□
20210414,122.5,123,116,121,3138,122.00□,124.73□,118.88◆,116.91□,2382◆,3145□,3601□,3277◆
20210415,122,122.5,120,122.5,1239,121.50□,124.70□,118.93◆,116.91,2329□,2807□,3569□,3268□
20210416,123,126.5,122.5,125,3521,121.90◆,124.75◆,119.06◆,116.94◆,2610◆,2764□,3581◆,3287◆
20210419,128,134,127.5,134,14652,124.70◆,125.15◆,119.31◆,117.05◆,4938◆,3307◆,3784◆,3398◆
20210420,137,137.5,132,136,9273,127.70◆,125.65◆,119.62◆,117.16◆,6365◆,3654◆,3899◆,3458◆
20210421,135,135,128,128,9116,129.10◆,125.73◆,119.76◆,117.20◆,7560◆,3979◆,4005◆,3516◆
20210422,131,131,122.5,123,6980,129.20◆,125.55□,119.73□,117.19□,8709◆,4031◆,3951□,3564◆
20210423,123.5,125.5,121.5,123,3572,128.80□,125.40□,119.81◆,117.20◆,8719◆,4112◆,3863□,3579◆
20210426,124,124.5,121.5,122.5,3084,126.50□,125.15□,119.87◆,117.20◆,6405□,4089□,3879◆,3595◆
20210427,123,128.5,122,127.5,5424,124.80□,125.20◆,120.03◆,117.26◆,5635□,4235◆,3929◆,3625◆
20210428,127.5,127.5,125,127,3149,124.60□,125.18□,120.28◆,117.33◆,4442□,4291◆,3920□,3637◆
20210429,127,127.5,123.5,123.5,2339,124.70◆,124.95□,120.47◆,117.38◆,3514□,4164□,3923◆,3630□
20210503,123,124.5,120.5,121,2683,124.30□,124.73□,120.56◆,117.41◆,3336□,4148□,3921□,3633◆
20210504,122,123,112.5,116,4715,123.00□,124.35□,120.55□,117.43◆,3662◆,4258◆,3956◆,3641◆
20210505,116.5,120,115,116.5,2555,120.80□,123.98□,120.57◆,117.48◆,3088□,4301◆,3945□,3624□
20210506,117.5,118,113,113.5,2531,118.10□,123.45□,120.48□,117.47□,2965□,4337◆,3926□,3620□
20210507,115,118,114.5,117.5,1650,116.90□,123.08□,120.52◆,117.48◆,2827□,4345◆,3903□,3599□
20210510,116,116.5,113,113,2520,115.30□,122.58□,120.53◆,117.44□,2794□,4365◆,3908◆,3605◆
20210511,111.5,111.5,102,102.5,5825,112.60□,121.70□,120.38□,117.34□,3016◆,4505◆,3984◆,3635◆
20210512,101,101,92.3,92.3,8231,107.76□,120.27□,120.05□,117.19□,4152◆,4810◆,4101◆,3642◆
20210513,89,95.5,88.8,93.5,4098,103.76□,118.89□,119.74□,117.05□,4465◆,4858◆,4155◆,3650◆
20210514,94.5,96.9,92.5,93.5,3018,98.96□,117.44□,119.42□,116.90□,4739◆,4947◆,4194◆,3661◆
20210517,88.1,92.5,86.5,89.1,3108,94.18□,115.65□,119.03□,116.73□,4856◆,4926□,4223◆,3669◆
20210518,90.8,96.6,90.3,96,2988,92.88□,113.75□,118.82□,116.63□,4289□,4343□,4220□,3665□
20210519,95,96,93,94.6,1969,93.34◆,111.68□,118.58□,116.51□,3036□,3978□,4218□,3664□
20210520,95,95.5,92.1,92.2,1680,93.08□,109.89□,118.29□,116.36□,2553□,3606□,4222◆,3655□
20210521,93.9,95.5,93.8,94.9,2060,93.36◆,108.48□,117.99□,116.24□,2361□,3360□,4210□,3655◆
20210524,94.4,98.1,94.1,98.1,2390,95.16◆,107.24□,117.75□,116.14□,2218□,3301□,4215◆,3663◆
20210525,99.8,100.5,98.2,99.1,3211,95.78◆,106.07□,117.57□,116.05□,2262◆,3307◆,4220◆,3663◆
20210526,100.5,101.5,99.1,101,1740,97.06◆,104.74□,117.41□,115.97□,2216□,3123□,4226◆,3654□
20210527,101,101,98.5,100,2784,98.62◆,103.39□,117.22□,115.87□,2437◆,3105□,4227◆,3664◆
20210528,98.3,98.5,97.1,97.5,1887,99.14◆,102.09□,116.99□,115.76□,2403□,3082□,4223□,3665◆
20210531,99.4,101,98.3,98.4,3046,99.20◆,100.96□,116.75□,115.62□,2534◆,3100◆,4251◆,3651□
20210601,100,108,99.9,108,8075,100.98◆,100.56□,116.67□,115.56□,3507◆,3268◆,4304◆,3686◆
20210602,109,109.5,102,104,9960,101.58◆,99.94□,116.46□,115.48□,5151◆,3639◆,4384◆,3747◆
20210603,105,105,102.5,103,2282,102.18◆,99.41□,116.27□,115.35□,5050□,3626□,4345□,3703□
20210604,102,105.5,101,102.5,2428,103.18◆,98.66□,115.93□,115.22□,5158◆,3665◆,4096□,3678□
20210607,103.5,108.5,100.5,108,6616,105.10◆,98.41□,115.61□,115.15□,5872◆,3870◆,3962□,3707◆
20210608,106,107.5,103.5,104,4906,104.30□,98.49◆,115.21□,115.05□,5239□,3824□,3913□,3720◆
20210609,103.5,105,103,103.5,1548,104.20□,99.05◆,114.82□,114.93□,3556□,3490□,3820□,3687□
20210610,105,105.5,103,105,1694,104.60◆,99.62◆,114.41□,114.82□,3439□,3370□,3791□,3669□
20210611,106,106.5,105,105.5,1947,105.20◆,100.22◆,114.12□,114.73□,3342□,3316□,3690□,3646□
20210615,107,107,104,104,2023,104.40□,100.97◆,113.79□,114.65□,2424□,3262□,3651□,3638□
20210616,103.5,107,103.5,104.5,2241,104.50◆,101.39◆,113.43□,114.58□,1891□,3224□,3625□,3633□
20210617,104.5,107.5,104.5,106.5,3006,105.10◆,101.99◆,113.10□,114.54□,2182◆,3276◆,3636◆,3643◆
20210618,107.5,110.5,106.5,108.5,5085,105.80◆,102.80◆,112.80□,114.53□,2861◆,3447◆,3677◆,3662◆
20210621,107.5,108,105,105.5,2982,105.8,103.33◆,112.45□,114.48□,3068◆,3493◆,3628□,3675◆
20210622,107,110,105.5,108.5,4445,106.70◆,103.85◆,112.16□,114.45□,3552◆,3595◆,3669◆,3700◆
20210623,110,111,108,110,3427,107.80◆,104.40◆,111.87□,114.44□,3789◆,3606◆,3668□,3720◆
20210624,111,114.5,110.5,111,4313,108.70◆,104.90◆,111.61□,114.44□,4051◆,3735◆,3698◆,3743◆
20210625,112,114,111.5,114,3394,109.80◆,105.60◆,111.39□,114.47◆,3712□,3765◆,3720◆,3751◆
20210628,113.5,114.5,111.5,112.5,3202,111.20◆,106.35◆,111.13□,114.47◆,3756◆,3831◆,3692□,3770◆
20210629,118,123.5,117.5,123.5,20290,114.20◆,107.60◆,111.10□,114.56◆,6925◆,4693◆,3981◆,3925◆
20210630,127,128.5,122,123.5,16748,116.90◆,108.38◆,111.1,114.64◆,9590◆,5127◆,4218◆,4053◆
20210701,125,128,120.5,121.5,7290,119.00◆,109.25◆,111.05□,114.69◆,10185◆,4993□,4311◆,4097◆
20210702,123,124,120,122,3045,120.60◆,110.20◆,111.02□,114.76◆,10115□,5032◆,4332◆,4108◆
20210705,124,126.5,123,125.5,3899,123.20◆,111.35◆,111.03◆,114.85◆,10255◆,5105◆,4372◆,4129◆
20210706,126.5,127,121,122,4123,122.90□,112.05◆,111.01□,114.92◆,7021□,4981□,4405◆,4154◆
20210707,121,124.5,120.5,121.5,3303,122.50□,112.93◆,111.04◆,114.95◆,4332□,4900□,4410◆,4145□
20210708,123,125.5,122.5,123,2412,122.80◆,113.90◆,111.07◆,114.96◆,3357□,4944◆,4414◆,4095□
20210709,121.5,124,120.5,121.5,2083,122.70□,114.73◆,111.08◆,114.98◆,3164□,4963◆,4397□,3999□
20210712,123.5,125,121.5,122,2692,122.00□,115.55◆,111.07□,115.00◆,2923□,5000◆,4421◆,3995□
20210713,123.5,125,122,122.5,3324,122.10◆,116.48◆,111.03□,115.04◆,2763□,5065◆,4418□,4000◆
20210714,124,130.5,124,128,13125,123.40◆,117.65◆,110.93□,115.12◆,4727◆,5610◆,4392□,4088◆
20210715,127.5,128,122,123,6422,123.4,118.48◆,110.71□,115.17◆,5529◆,5780◆,4345□,4122◆
20210716,122,124,121.5,123.5,2493,123.80◆,119.23◆,110.64□,115.20◆,5611◆,5651□,4234□,4120□
20210719,122.5,123.5,122,122,1151,123.8,120.05◆,110.62□,115.18□,5303□,5559□,4137□,4044□
20210720,120.5,121.5,118,118.5,3602,123.00□,120.55◆,110.55□,115.18,5359◆,5517□,4138◆,4000□
20210721,120.5,121,115,117,2955,120.80□,120.90◆,110.45□,115.16□,3325□,5493□,4136□,4007◆
20210722,118,124.5,118,123,5000,120.8,121.50◆,110.38□,115.21◆,3040□,5528◆,4129□,4029◆
20210723,123,124,120.5,121.5,2078,120.40□,121.88◆,110.29□,115.28◆,2957□,5462□,4111□,4015□
20210726,121,125,121,124,2326,120.80◆,122.45◆,110.30◆,115.38◆,3192◆,5418□,4111□,4017◆
20210727,125,125,120,120,2478,121.10◆,122.28□,110.28□,115.42◆,2968□,4528□,4107□,4014□
20210728,119,121,114,118,3596,121.30◆,122.00□,110.31◆,115.43◆,3096◆,3870□,4088□,4022◆
20210729,118,120,116,118.5,1851,120.40□,121.85□,110.35◆,115.46◆,2466□,3598□,4077□,4011□
20210730,118,118.5,116,116.5,2079,119.40□,121.58□,110.40◆,115.44□,2466◆,3550□,4069□,3998□
20210802,115,116,112.5,113.5,3175,117.30□,120.98□,110.33□,115.42□,2636◆,3514□,4095◆,3999◆
20210803,115,115,113,114,1161,116.10□,120.58□,110.35◆,115.44◆,2373□,3365□,4072□,3990□
20210804,114.5,115,112.5,113.5,1517,115.20□,120.18□,110.53◆,115.46◆,1957□,3276□,4000□,3992◆
20210805,114,116.5,113.5,114,1520,114.30□,119.73□,110.89◆,115.47◆,1891□,3232□,3888□,3995◆
20210806,115,115.5,113.5,114,1088,113.80□,119.35□,111.23◆,115.49◆,1692□,3182□,3838□,3996◆
20210809,114,114,110,110,2230,113.10□,118.75□,111.51◆,115.47□,1503□,3159□,3825□,4010◆
20210810,111,112,108,110,2040,112.30□,118.13□,111.86◆,115.44□,1679◆,3094□,3807□,4015◆
20210811,110.5,110.5,106,106.5,2166,110.90□,117.05□,112.03◆,115.43□,1809◆,2547□,3793□,4007□
20210812,109.5,117,109.5,114,6975,110.9,116.60□,112.35◆,115.47◆,2900◆,2574◆,3877◆,4047◆
20210813,113,115,111,112,2898,110.50□,116.03□,112.68◆,115.49◆,3262◆,2594◆,3897◆,4060◆
20210816,109.5,111,106,107.5,3080,110.00□,115.30□,112.89◆,115.44□,3432◆,2691◆,3914◆,4062◆
20210817,108.5,108.5,104,104,1967,108.80□,114.58□,112.99◆,115.37□,3417□,2609□,3907□,4061□
20210818,103,107.5,102,107,1969,108.90◆,114.08□,113.12◆,115.35□,3378□,2560□,3886□,4053□
20210819,105.5,106,101.5,101.5,1993,106.40□,113.00□,113.13◆,115.27□,2382□,2409□,3891◆,4059◆
20210820,102.5,105,101,103.5,1747,104.70□,112.10□,113.19◆,115.21□,2151□,2393□,3873□,4050□
20210823,105,107.5,104.5,106.5,1175,104.50□,111.23□,113.34◆,115.17□,1770□,2335□,3862□,4042□
20210824,109,110,107,108,1283,105.30◆,110.63□,113.50◆,115.12□,1634□,2276□,3832□,4042□
20210825,108,109.5,108,109,849,105.70◆,110.18□,113.52◆,115.09□,1410□,2138□,3712□,4008□
20210826,109.5,110,106.5,107.5,919,106.90◆,109.63□,113.58◆,115.02□,1195□,2092□,3561□,3972□
20210827,106.5,108.5,106,108,644,107.80◆,109.20□,113.66◆,114.97□,974□,2020□,3534□,3940□
20210830,108.5,109,107,108,585,108.10◆,108.93□,113.75◆,114.84□,856□,1890□,3503□,3799□
20210831,109,109,106.5,107.5,823,108.00□,108.60□,113.74□,114.68□,764□,1874□,3406□,3684□
20210901,107.5,111,107.5,110.5,1372,108.30◆,108.45□,113.85◆,114.53□,869◆,1866□,3348□,3630□
20210902,110.5,111,108,108,1111,108.40◆,108.15□,113.93◆,114.37□,907◆,1846□,3340□,3580□
20210903,109.5,110.5,108.5,108.5,985,108.50◆,107.88□,113.98◆,114.20□,975◆,1841□,3328□,3560□
20210906,109,109.5,106,106,1146,108.10□,107.68□,113.99◆,114.06□,1088◆,1786□,3315□,3503□
20210907,105,106,103,103.5,1438,107.30□,107.35□,113.98□,113.89□,1211◆,1756□,3305□,3478□
20210908,103.5,104.5,100.5,100.5,1577,105.30□,107.05□,113.92□,113.67□,1252◆,1727□,3294□,3460□
20210909,100.5,103,100,101.5,918,104.00□,106.43□,113.83□,113.47□,1213□,1424□,3260□,3448□
20210910,102,102.5,101,102,820,102.70□,105.93□,113.73□,113.27□,1180□,1320□,3188□,3433□
20210913,102.5,102.5,100,100,1087,101.50□,105.55□,113.63□,113.04□,1168□,1221□,3157□,3392□
20210914,101,101.5,99.9,100.5,1298,100.90□,105.38□,113.50□,112.83□,1140□,1187□,3104□,3387□
20210915,101,101.5,99.3,99.3,1234,100.66□,104.99□,113.32□,112.60□,1072□,1150□,3068□,3368□
20210916,100,100.5,99.4,100.5,500,100.46□,104.94□,113.15□,112.38□,988□,1076□,3004□,3351□
20210917,101,101.5,100,101.5,689,100.36□,104.84□,112.94□,112.16□,962□,1023□,2959□,3340□
20210922,99.8,100.5,98,98.3,1305,100.02□,104.43□,112.70□,111.92□,1005◆,1029◆,2928□,3310□
20210923,99.2,99.8,98.2,98.6,963,99.64□,103.96□,112.29□,111.69□,938□,1013□,2605□,3293□
20210924,99.4,100.5,99.3,99.8,728,99.74◆,103.50□,111.89□,111.49□,837□,1007□,2338□,3278□
20210927,100,100.5,99.3,99.3,590,99.50□,103.09□,111.52□,111.29□,855◆,991□,2227□,3269□
20210928,99.3,99.3,97.6,97.9,1107,98.78□,102.59□,111.12□,111.07□,939◆,1014◆,2195□,3263□
20210929,97.3,97.3,94.5,94.5,1776,98.02□,101.91□,110.60□,110.82□,1033◆,1073◆,2159□,3265◆
20210930,94.9,96.3,94.6,95.3,928,97.36□,101.30□,110.16□,110.59□,1026□,1079◆,2106□,3255□
20211001,95,95,92.3,92.3,1252,95.86□,100.39□,109.67□,110.36□,1131◆,1073□,2072□,3241□
20211004,93.2,95.3,92.1,92.7,961,94.54□,99.63□,109.17□,110.12□,1205◆,1065□,2048□,3231□
20211005,91.1,94,90.4,93.9,598,93.74□,98.90□,108.71□,109.89□,1103□,1046□,2023□,3210□
20211006,94.3,94.8,91,91.3,1061,93.10□,98.16□,108.20□,109.63□,960□,1042□,1996□,3208□
20211007,92.2,94.4,92.2,93.9,587,92.82□,97.68□,107.72□,109.37□,892□,999□,1950□,3184□
20211008,94.5,95.6,93.9,94.7,605,93.30◆,97.39□,107.16□,109.05□,763□,950□,1741□,3067□
20211012,94.7,95.3,92.1,92.4,787,93.24□,96.94□,106.65□,108.68□,728□,944□,1647□,2996□
20211013,93.3,93.3,89.9,90.6,1032,92.58□,96.37□,106.11□,108.37□,815◆,955◆,1623□,2929□
20211014,92.6,93.9,90.6,91.7,978,92.66◆,95.95□,105.60□,108.11□,798□,949□,1620□,2879□
20211015,92.9,93.9,92,93.7,678,92.62□,95.61□,105.19□,107.87□,816◆,918□,1571□,2855□
20211018,93.6,93.7,92,92,667,92.08□,95.25□,104.77□,107.61□,829◆,890□,1533□,2834□
20211019,92.8,95.4,92.8,94,1342,92.40◆,94.92□,104.29□,107.33□,940◆,932◆,1472□,2800□
20211020,95.8,95.8,94.1,94.1,747,93.10◆,94.55□,103.83□,107.06□,883□,935◆,1450□,2780□
20211021,95,95.5,94,94,632,93.56◆,94.34□,103.33□,106.81□,813□,901□,1422□,2766□
20211022,94.2,95.1,93.4,94.4,715,93.70◆,94.13□,102.90□,106.59□,821◆,889□,1393□,2750□
20211025,94.1,95.4,93.5,94.7,733,94.24◆,93.87□,102.52□,106.41□,834◆,889◆,1345□,2717□
20211026,95.3,97,94.8,95.3,911,94.50◆,93.67□,102.13□,106.24□,748□,905◆,1329□,2703□
20211027,95.3,96.5,95,96.4,605,94.96◆,93.60□,101.79□,106.10□,719□,880□,1305□,2687□
20211028,96.9,99.7,96.9,98.6,2193,95.88◆,93.80◆,101.55□,105.94□,1032◆,901◆,1288□,2691◆
20211029,98.7,98.9,96.6,97.1,1558,96.42◆,93.89◆,101.26□,105.81□,1200◆,932◆,1295◆,2683□
20211101,99,99,97.5,97.8,836,97.04◆,94.17◆,101.00□,105.77□,1221◆,911□,1283□,2642□
20211102,98.3,100.5,97.6,98,2064,97.58◆,94.43◆,100.74□,105.81◆,1451◆,967◆,1293◆,2590□
20211103,99,100,98.2,98.2,1783,97.94◆,94.65◆,100.47□,105.85◆,1687◆,1026◆,1304◆,2571□
20211104,100.5,101.5,98.3,98.5,2047,97.92□,95.01◆,100.28□,105.89◆,1658□,1075◆,1301□,2563□
20211105,98.6,99,96,97.7,1527,98.04◆,95.20◆,100.08□,105.97◆,1652□,1122◆,1293□,2550□
20211108,99,102,98.3,101.5,2994,98.78◆,95.54◆,99.99□,106.01◆,2083◆,1242◆,1306◆,2550◆
20211109,101.5,101.5,99.3,100,1812,99.18◆,95.92◆,99.76□,106.06◆,2033□,1293◆,1220□,2549□
20211110,100,100.5,99.3,99.5,963,99.44◆,96.36◆,99.55□,106.12◆,1869□,1289□,1188□,2543□
20211111,99.5,101.5,99.1,99.9,1439,99.72◆,96.77◆,99.42□,106.16◆,1747□,1312◆,1161□,2537□
20211112,100.5,102,100.5,101,855,100.38◆,97.14◆,99.37□,106.18◆,1613□,1321◆,1142□,2525□
20211115,102,103,101,102.5,1439,100.58◆,97.66◆,99.30□,106.21◆,1302□,1360◆,1133□,2510□
20211116,103.5,103.5,101.5,102,1383,100.98◆,98.06◆,99.31◆,106.22◆,1216□,1362◆,1123□,2507□
