ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,А基[5],А基[20],А基[60],А基[120],А秖[5],А秖[20],А秖[60],А秖[120]
20201110,452,454.5,448.5,451,34735,0,0,0,0,0,0,0,0
20201111,448.5,457,448.5,457,36719,0,0,0,0,0,0,0,0
20201112,463,463.5,457.5,458,40055,0,0,0,0,0,0,0,0
20201113,459,462,456.5,462,30973,0,0,0,0,0,0,0,0
20201116,470,484.5,469,484,81849,462.4,0,0,0,44866,0,0,0
20201117,502,506,485.5,485.5,72298,469.30◆,0,0,0,52379◆,0,0,0
20201118,490,497,486.5,497,50306,477.30◆,0,0,0,55096◆,0,0,0
20201119,499,499,490,490,44140,483.70◆,0,0,0,55913◆,0,0,0
20201120,486,490,486,488,32218,488.90◆,0,0,0,56162◆,0,0,0
20201123,494.5,498.5,492,496.5,38039,491.40◆,0,0,0,47400□,0,0,0
20201124,499.5,500,491.5,492,35428,492.70◆,0,0,0,40026□,0,0,0
20201125,495,495.5,487,487,41321,490.70□,0,0,0,38229□,0,0,0
20201126,489,493.5,488,489,28852,490.50□,0,0,0,35172□,0,0,0
20201127,487.5,492,486.5,489,32911,490.70◆,0,0,0,35310◆,0,0,0
20201130,493,493.5,480.5,480.5,119678,487.50□,0,0,0,51638◆,0,0,0
20201201,489.5,490,483.5,490,36975,487.10□,0,0,0,51948◆,0,0,0
20201202,499.5,500,493.5,499,50527,489.50◆,0,0,0,53789◆,0,0,0
20201203,499.5,499.5,495,497,35606,491.10◆,0,0,0,55140◆,0,0,0
20201204,498.5,505,497.5,503,51101,493.90◆,0,0,0,58778◆,0,0,0
20201207,512,515,506,514,44189,500.60◆,485.48,0,0,43680□,46896,0,0
20201208,514,525,509,524,40696,507.40◆,489.13◆,0,0,44424◆,47194◆,0,0
20201209,521,524,520,520,43209,511.60◆,492.28◆,0,0,42960□,47519◆,0,0
20201210,511,515,510,512,42415,514.60◆,494.98◆,0,0,44322◆,47637◆,0,0
20201211,517,517,505,516,45590,517.20◆,497.68◆,0,0,43220□,48368◆,0,0
20201214,512,513,508,508,30154,516.00□,498.88◆,0,0,40413□,45783□,0,0
20201215,507,510,504,504,39742,512.00□,499.80◆,0,0,40222□,44155□,0,0
20201216,509,515,507,512,51956,510.40□,500.55◆,0,0,41972◆,44237◆,0,0
20201217,515,515,508,508,38166,509.60□,501.45◆,0,0,41122□,43939□,0,0
20201218,508,512,507,510,39884,508.40□,502.55◆,0,0,39981□,44322◆,0,0
20201221,512,517,508,516,34768,510.00◆,503.53◆,0,0,40903◆,44159□,0,0
20201222,512,516,509,509,22353,511.00◆,504.38◆,0,0,37426□,43505□,0,0
20201223,508,511,506,509,18045,510.40□,505.48◆,0,0,30643□,42341□,0,0
20201224,511,512,508,510,14906,510.80◆,506.53◆,0,0,25991□,41644□,0,0
20201225,514,515,510,511,12301,511.00◆,507.63◆,0,0,20475□,40613□,0,0
20201228,512,515,509,515,19038,510.80□,509.35◆,0,0,17329□,35581□,0,0
20201229,515,517,513,515,19870,512.00◆,510.60◆,0,0,16832□,34726□,0,0
20201230,516,525,514,525,46230,515.20◆,511.90◆,0,0,22469◆,34511□,0,0
20201231,526,530,524,530,29903,519.20◆,513.55◆,0,0,25469◆,34226□,0,0
20210104,530,540,528,536,38699,524.20◆,515.20◆,0,0,30748◆,33606□,0,0
20210105,536,542,535,542,34354,529.60◆,516.60◆,0,0,33811◆,33114□,0,0
20210106,555,555,541,549,52965,536.40◆,517.85◆,0,0,40430◆,33728◆,0,0
20210107,554,570,553,565,51064,544.40◆,520.10◆,0,0,41397◆,34120◆,0,0
20210108,580,580,571,580,59472,554.40◆,523.50◆,0,0,47311◆,34973◆,0,0
20210111,577,584,574,584,48753,564.00◆,526.90◆,0,0,49322◆,35131◆,0,0
20210112,583,597,582,591,50132,573.80◆,531.05◆,0,0,52477◆,36130◆,0,0
20210113,595,605,593,605,62555,585.00◆,536.10◆,0,0,54395◆,37271◆,0,0
20210114,587,597,587,592,75082,590.40◆,540.10◆,0,0,59199◆,38427◆,0,0
20210115,621,625,601,601,91710,594.60◆,544.75◆,0,0,65647◆,41104◆,0,0
20210118,608,608,594,607,45650,599.20◆,549.60◆,0,0,65026□,41393◆,0,0
20210119,618,632,613,627,50523,606.40◆,555.15◆,0,0,65104◆,42180◆,0,0
20210120,633,650,631,647,81896,614.80◆,562.05◆,0,0,68972◆,45158◆,0,0
20210121,640,679,640,673,88906,631.00◆,570.25◆,0,0,71737◆,48701◆,0,0
20210122,649,665,649,649,124832,640.60◆,577.20◆,0,0,78362◆,54197◆,0,0
20210125,642,646,626,633,92861,645.80◆,583.30◆,0,0,87804◆,58225◆,0,0
20210126,632,640,610,617,99888,643.80□,588.40◆,0,0,97677◆,62267◆,0,0
20210127,618,625,611,615,59843,637.40□,593.40◆,0,0,93266□,64266◆,0,0
20210128,600,608,598,601,96270,623.00□,597.20◆,0,0,94739◆,66768◆,0,0
20210129,619,619,591,591,90403,611.40□,600.25◆,0,0,87853□,69793◆,0,0
20210201,595,612,587,611,67332,607.00□,604.00◆,0,0,82747□,71225◆,0,0
20210202,629,638,622,632,78305,610.00◆,608.50◆,536.86,0,78431□,73422◆,51144,0
20210203,638,642,630,630,48630,613.00◆,612.55◆,539.84◆,0,76188□,73205□,51376◆,0
