ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,А基[5],А基[20],А基[60],А基[120],А秖[5],А秖[20],А秖[60],А秖[120]
20181122,10.25,10.7,10.2,10.2,167,0,0,0,0,0,0,0,0
20181123,10.2,10.2,10,10,102,0,0,0,0,0,0,0,0
20181126,10.1,10.4,10.1,10.4,90,0,0,0,0,0,0,0,0
20181127,11,11,10.5,10.5,186,0,0,0,0,0,0,0,0
20181128,10.65,11.55,10.45,11.55,693,10.53,0,0,0,248,0,0,0
20181129,11.55,12.15,11.1,11.2,684,10.73◆,0,0,0,351◆,0,0,0
20181130,11.2,11.45,11.15,11.25,240,10.98◆,0,0,0,379◆,0,0,0
20181203,11.5,11.8,11.3,11.6,422,11.22◆,0,0,0,445◆,0,0,0
20181204,11.5,11.6,11.3,11.4,216,11.40◆,0,0,0,451◆,0,0,0
20181205,11.2,11.55,11.1,11.35,185,11.36□,0,0,0,350□,0,0,0
20181206,11.4,11.45,10.6,11.35,212,11.39◆,0,0,0,255□,0,0,0
20181207,11.2,11.3,11.05,11.25,76,11.39,0,0,0,222□,0,0,0
20181210,10.65,11.1,10.65,10.85,52,11.24□,0,0,0,148□,0,0,0
20181211,10.8,11.1,10.6,10.75,84,11.11□,0,0,0,122□,0,0,0
20181212,10.85,11.15,10.85,11.15,97,11.07□,0,0,0,104□,0,0,0
20181213,11.3,11.3,11,11,73,11.00□,0,0,0,77□,0,0,0
20181214,11.1,11.1,10.8,10.9,47,10.93□,0,0,0,71□,0,0,0
20181217,10.75,10.8,10.7,10.75,35,10.91□,0,0,0,67□,0,0,0
20181218,10.65,11.1,10.55,10.65,134,10.89□,0,0,0,77◆,0,0,0
20181219,10.6,11.15,10.6,10.7,132,10.80□,10.94,0,0,84◆,196,0,0
20181220,10.85,10.9,10.6,10.6,46,10.72□,10.96◆,0,0,79□,190□,0,0
20181221,10.6,11.65,10.6,11.65,849,10.87◆,11.04◆,0,0,239◆,228◆,0,0
20181222,11.6,11.65,11.3,11.5,536,11.02◆,11.10◆,0,0,340◆,250◆,0,0
20181224,11.5,12.1,11.2,11.8,716,11.25◆,11.16◆,0,0,456◆,277◆,0,0
20181225,11.2,11.65,11.15,11.25,468,11.36◆,11.15□,0,0,523◆,265□,0,0
20181226,11.25,11.5,10.9,10.9,255,11.42◆,11.13□,0,0,565◆,244□,0,0
20181227,11,11.4,10.8,10.8,214,11.25□,11.11□,0,0,438□,243□,0,0
20181228,11,11,10.8,10.8,99,11.11□,11.07□,0,0,351□,226□,0,0
20190102,11,11.1,10.5,10.7,225,10.89□,11.04□,0,0,252□,227◆,0,0
20190103,10.65,10.7,10.35,10.35,171,10.71□,10.99□,0,0,193□,226□,0,0
20190104,10.35,10.35,10,10.2,148,10.57□,10.93□,0,0,172□,223□,0,0
20190107,10.35,10.4,10.25,10.35,178,10.48□,10.88□,0,0,164□,228◆,0,0
20190108,10.4,10.45,10.25,10.35,169,10.39□,10.86□,0,0,178◆,234◆,0,0
