ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,А基[5],А基[20],А基[60],А基[120],А秖[5],А秖[20],А秖[60],А秖[120]
20181122,1.19,1.19,1.17,1.18,33,0,0,0,0,0,0,0,0
20181123,1.18,1.19,1.15,1.15,189,0,0,0,0,0,0,0,0
20181126,1.18,1.19,1.18,1.18,24,0,0,0,0,0,0,0,0
20181127,1.18,1.2,1.17,1.2,46,0,0,0,0,0,0,0,0
20181128,1.21,1.21,1.16,1.18,66,1.18,0,0,0,72,0,0,0
20181129,1.19,1.19,1.17,1.18,41,1.18,0,0,0,73◆,0,0,0
20181130,1.18,1.19,1.18,1.19,34,1.19◆,0,0,0,42□,0,0,0
20181203,1.19,1.2,1.19,1.19,189,1.19◆,0,0,0,75◆,0,0,0
20181204,1.2,1.21,1.19,1.2,122,1.19,0,0,0,91◆,0,0,0
20181205,1.2,1.21,1.18,1.21,85,1.20◆,0,0,0,94◆,0,0,0
20181206,1.21,1.21,1.18,1.2,165,1.20◆,0,0,0,119◆,0,0,0
20181207,1.22,1.22,1.19,1.2,170,1.20◆,0,0,0,146◆,0,0,0
20181210,1.21,1.21,1.18,1.18,88,1.20□,0,0,0,126□,0,0,0
20181211,1.19,1.21,1.19,1.2,96,1.2,0,0,0,121□,0,0,0
20181212,1.2,1.22,1.2,1.21,135,1.2,0,0,0,131◆,0,0,0
20181213,1.2,1.21,1.19,1.2,194,1.2,0,0,0,137◆,0,0,0
20181214,1.2,1.21,1.19,1.2,300,1.2,0,0,0,163◆,0,0,0
20181217,1.2,1.22,1.2,1.22,203,1.21◆,0,0,0,186◆,0,0,0
20181218,1.22,1.22,1.19,1.2,230,1.21,0,0,0,213◆,0,0,0
20181219,1.2,1.2,1.19,1.2,170,1.21□,1.19,0,0,220◆,129,0,0
20181220,1.2,1.2,1.19,1.19,179,1.20□,1.20◆,0,0,217□,136◆,0,0
20181221,1.18,1.19,1.18,1.19,131,1.20□,1.20◆,0,0,183□,134□,0,0
20181222,1.18,1.19,1.18,1.18,100,1.19□,1.2,0,0,162□,137◆,0,0
20181224,1.19,1.19,1.17,1.17,44,1.19□,1.20□,0,0,125□,137□,0,0
20181225,1.17,1.18,1.16,1.17,115,1.18□,1.20□,0,0,114□,140◆,0,0
20181226,1.18,1.18,1.17,1.17,116,1.18□,1.19□,0,0,101□,143◆,0,0
20181227,1.18,1.2,1.17,1.19,418,1.18,1.19,0,0,159◆,163◆,0,0
20181228,1.19,1.2,1.19,1.2,37,1.18◆,1.20◆,0,0,146□,155□,0,0
20190102,1.2,1.2,1.19,1.2,78,1.19◆,1.2,0,0,153◆,153□,0,0
20190103,1.2,1.2,1.18,1.19,270,1.19◆,1.19□,0,0,184◆,162◆,0,0
20190104,1.19,1.2,1.18,1.19,136,1.20◆,1.19□,0,0,188◆,161□,0,0
20190107,1.19,1.2,1.19,1.2,118,1.20◆,1.19,0,0,128□,158□,0,0
20190108,1.2,1.2,1.19,1.2,108,1.2,1.19◆,0,0,142◆,159◆,0,0
20190109,1.2,1.2,1.16,1.18,1102,1.19□,1.19□,0,0,347◆,209◆,0,0
20190110,1.18,1.18,1.17,1.17,184,1.19□,1.19□,0,0,330□,212◆,0,0
20190111,1.18,1.18,1.17,1.18,53,1.19□,1.19□,0,0,313□,205□,0,0
20190114,1.18,1.19,1.17,1.19,125,1.19□,1.19□,0,0,315◆,196□,0,0
20190115,1.19,1.19,1.17,1.18,110,1.18□,1.19□,0,0,315◆,191□,0,0
20190116,1.19,1.19,1.18,1.19,76,1.18◆,1.19□,0,0,110□,184□,0,0
20190117,1.19,1.19,1.17,1.19,201,1.19◆,1.19□,0,0,113◆,185◆,0,0
20190118,1.18,1.18,1.17,1.18,257,1.19,1.19□,0,0,154◆,189◆,0,0
20190121,1.17,1.18,1.17,1.18,92,1.19□,1.19□,0,0,147□,187□,0,0
20190122,1.17,1.18,1.17,1.18,57,1.19,1.19,0,0,137□,185□,0,0
20190123,1.18,1.19,1.18,1.19,176,1.19,1.19◆,0,0,157◆,192◆,0,0
20190124,1.19,1.19,1.18,1.18,109,1.18□,1.19◆,0,0,138□,191□,0,0
20190125,1.18,1.19,1.18,1.19,187,1.19◆,1.19◆,0,0,124□,195◆,0,0
20190128,1.19,1.19,1.18,1.19,189,1.19◆,1.19,0,0,144◆,183□,0,0
20190129,1.2,1.2,1.19,1.2,198,1.19◆,1.19,0,0,172◆,191◆,0,0
20190130,1.19,1.21,1.19,1.19,274,1.19,1.19□,0,0,192◆,201◆,0,0
20190211,1.2,1.21,1.18,1.19,154,1.19◆,1.19,0,0,201◆,195□,0,0
20190212,1.19,1.19,1.18,1.18,205,1.19□,1.19□,0,0,204◆,199◆,0,0
20190213,1.19,1.19,1.18,1.19,72,1.19,1.19□,0,0,181□,197□,0,0
20190214,1.18,1.19,1.18,1.19,89,1.19□,1.19□,0,0,159□,196□,0,0
20190215,1.19,1.19,1.18,1.18,96,1.19□,1.19,0,0,123□,145□,0,0
20190218,1.19,1.2,1.18,1.19,858,1.19,1.19◆,0,0,264◆,179◆,0,0
20190219,1.2,1.2,1.18,1.19,176,1.19◆,1.19◆,0,0,258□,185◆,0,0
20190220,1.18,1.19,1.18,1.19,43,1.19,1.19,0,0,253□,181□,0,0
20190221,1.19,1.19,1.18,1.18,153,1.19□,1.19,0,0,265◆,183◆,0,0
20190222,1.19,1.19,1.18,1.19,185,1.19◆,1.19,0,0,283◆,189◆,0,0
20190225,1.19,1.19,1.18,1.19,131,1.19,1.19,1.19,0,138□,185□,166,0
20190226,1.19,1.19,1.18,1.19,140,1.19,1.19◆,1.19◆,0,131□,179□,168◆,0
20190227,1.18,1.19,1.18,1.19,226,1.19,1.19◆,1.19◆,0,167◆,186◆,169◆,0
20190304,1.2,1.2,1.17,1.18,1084,1.19,1.19,1.19,0,353◆,237◆,187◆,0
20190305,1.18,1.19,1.17,1.19,443,1.19,1.19,1.19□,0,405◆,251◆,193◆,0
20190306,1.18,1.19,1.17,1.17,737,1.19□,1.19□,1.19□,0,526◆,282◆,204◆,0
20190307,1.17,1.17,1.16,1.16,286,1.18□,1.19□,1.19□,0,555◆,287◆,208◆,0
20190308,1.15,1.17,1.15,1.16,239,1.17□,1.19□,1.19□,0,558◆,290◆,212◆,0
20190311,1.16,1.17,1.16,1.16,94,1.17□,1.18□,1.19□,0,360□,284□,210□,0
20190312,1.16,1.17,1.16,1.16,205,1.16□,1.18□,1.19□,0,312□,281□,212◆,0
20190313,1.17,1.18,1.17,1.17,164,1.16,1.18□,1.19□,0,198□,281◆,213◆,0
20190314,1.17,1.17,1.15,1.15,410,1.16□,1.18□,1.19□,0,223◆,292◆,217◆,0
20190315,1.15,1.17,1.15,1.17,421,1.16◆,1.18□,1.19□,0,259◆,309◆,221◆,0
20190318,1.16,1.17,1.16,1.17,160,1.17◆,1.18□,1.19□,0,272◆,313◆,222◆,0
20190319,1.16,1.16,1.15,1.15,353,1.16□,1.18□,1.19□,0,302◆,326◆,227◆,0
20190320,1.15,1.16,1.15,1.16,129,1.16□,1.17□,1.18□,0,295□,289□,227□,0
