ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,А基[5],А基[20],А基[60],А基[120],А秖[5],А秖[20],А秖[60],А秖[120]
20201110,14.7,15,13.9,14.5,57691,0,0,0,0,0,0,0,0
20201111,14.35,14.95,14.3,14.65,22453,0,0,0,0,0,0,0,0
20201112,14.6,14.8,13.9,14.15,20253,0,0,0,0,0,0,0,0
20201113,14.2,14.65,14.15,14.3,15733,0,0,0,0,0,0,0,0
20201116,14.4,14.75,14.25,14.3,17014,14.38,0,0,0,26629,0,0,0
20201117,14.5,14.7,14.2,14.7,14517,14.42◆,0,0,0,17994□,0,0,0
20201118,14.65,15.75,14.6,15.5,49988,14.59◆,0,0,0,23501◆,0,0,0
20201119,15.4,15.6,14.85,15.05,24495,14.77◆,0,0,0,24350◆,0,0,0
20201120,14.9,15,14.4,14.5,19029,14.81◆,0,0,0,25009◆,0,0,0
20201123,14.55,14.6,14.35,14.45,8248,14.84◆,0,0,0,23256□,0,0,0
20201124,14.5,14.6,14.15,14.15,10450,14.73□,0,0,0,22442□,0,0,0
20201125,14.3,14.5,14.2,14.2,8821,14.47□,0,0,0,14209□,0,0,0
20201126,14.4,14.55,14.3,14.45,6935,14.35□,0,0,0,10697□,0,0,0
20201127,14.45,14.6,14.3,14.6,6377,14.37◆,0,0,0,8166□,0,0,0
20201130,14.75,15.3,14.7,14.95,20023,14.47◆,0,0,0,10521◆,0,0,0
20201201,14.95,15.05,14.55,14.55,11232,14.55◆,0,0,0,10678◆,0,0,0
20201202,14.7,14.75,14.3,14.35,9719,14.58◆,0,0,0,10857◆,0,0,0
20201203,14.35,14.6,14.3,14.35,12261,14.56□,0,0,0,11923◆,0,0,0
20201204,14.55,14.6,14.25,14.25,11607,14.49□,0,0,0,12969◆,0,0,0
20201207,14.3,14.9,14.3,14.5,12853,14.40□,14.52,0,0,11535□,17985,0,0
20201208,14.6,14.8,14.4,14.5,8099,14.39□,14.52,0,0,10908□,15505□,0,0
20201209,14.55,14.55,14.2,14.3,8939,14.38□,14.51□,0,0,10752□,14830□,0,0
20201210,14.3,14.7,14.3,14.35,8967,14.38,14.52◆,0,0,10093□,14265□,0,0
20201211,14.5,14.65,14.2,14.5,8244,14.43◆,14.53◆,0,0,9421□,13891□,0,0
20201214,14.4,14.65,14.4,14.55,5176,14.44◆,14.54◆,0,0,7885□,13299□,0,0
20201215,14.5,14.85,14.3,14.4,8323,14.42□,14.52□,0,0,7930◆,12989□,0,0
20201216,14.45,15,14.45,14.95,20656,14.55◆,14.50□,0,0,10273◆,11523□,0,0
20201217,15.25,15.65,14.7,15,28922,14.68◆,14.49□,0,0,14264◆,11744◆,0,0
20201218,15,15.05,14.75,14.75,6227,14.73◆,14.51◆,0,0,13861□,11104□,0,0
20201221,14.9,15.95,14.8,15.8,30401,14.98◆,14.57◆,0,0,18906◆,12212◆,0,0
20201222,15.65,15.7,14.75,14.8,18938,15.06◆,14.61◆,0,0,21029◆,12636◆,0,0
20201223,14.95,15.25,14.8,15.15,8833,15.10◆,14.65◆,0,0,18664□,12637◆,0,0
20201224,15.25,16.3,15.25,15.5,39898,15.20◆,14.71◆,0,0,20860◆,14285◆,0,0
20201225,15.8,16,15.35,15.45,16822,15.34◆,14.75◆,0,0,22979◆,14807◆,0,0
20201228,15.55,15.6,15.1,15.2,9371,15.22□,14.76◆,0,0,18773□,14275□,0,0
20201229,15.3,15.6,15.25,15.3,9073,15.32◆,14.80◆,0,0,16800□,14167□,0,0
20201230,15.4,15.5,15.05,15.2,6190,15.33◆,14.84◆,0,0,16271□,13990□,0,0
20201231,15.3,15.3,14.85,15,7833,15.23□,14.87◆,0,0,9858□,13769□,0,0
20210104,15.05,15.2,14.8,14.95,6306,15.13□,14.91◆,0,0,7755□,13504□,0,0
20210105,14.95,15.1,14.6,14.75,8353,15.04□,14.92◆,0,0,7551□,13279□,0,0
20210106,14.75,14.85,13.9,14,16053,14.78□,14.90□,0,0,8947◆,13676◆,0,0
20210107,14.2,14.3,14.05,14.25,5155,14.59□,14.89□,0,0,8740□,13487□,0,0
20210108,14.35,14.35,13.75,13.9,7356,14.37□,14.87□,0,0,8645□,13407□,0,0
20210111,14,14.4,13.95,14.05,7799,14.19□,14.85□,0,0,8943◆,13384□,0,0
20210112,14.05,14.15,13.6,13.65,6905,13.97□,14.80□,0,0,8654□,13471◆,0,0
20210113,13.65,13.9,13.6,13.75,3506,13.92□,14.77□,0,0,6144□,13230□,0,0
20210114,13.8,14.55,13.8,14.4,18438,13.95◆,14.74□,0,0,8801◆,13119□,0,0
20210115,14.05,14.2,13.7,13.75,7114,13.92□,14.68□,0,0,8753□,12029□,0,0
20210118,13.65,13.7,13.1,13.6,4717,13.83□,14.62□,0,0,8136□,11953□,0,0
20210119,13.6,13.8,13.5,13.5,2983,13.80□,14.51□,0,0,7352□,10582□,0,0
20210120,13.45,13.45,12.85,13,7765,13.65□,14.42□,0,0,8204◆,10024□,0,0
20210121,13,13.4,12.95,13.05,3838,13.38□,14.31□,0,0,5284□,9774□,0,0
20210122,13.1,13.2,12.9,13.15,2334,13.26□,14.20□,0,0,4328□,7896□,0,0
20210125,13.1,13.4,13.05,13.3,2386,13.20□,14.09□,0,0,3861□,7174□,0,0
20210126,13.35,13.4,13.05,13.2,1766,13.14□,13.99□,0,0,3618□,6794□,0,0
20210127,13.3,13.3,13,13.05,1767,13.15◆,13.88□,0,0,2418□,6428□,0,0
20210128,13,13.05,12.85,12.95,2544,13.13□,13.76□,0,0,2160□,6246□,0,0
20210129,12.95,13,12.5,12.6,6363,13.02□,13.64□,0,0,2965◆,6173□,0,0
20210201,12.6,13.05,12.45,12.85,3013,12.93□,13.54□,0,0,3091◆,6008□,0,0
20210202,12.85,13.3,12.75,13.25,4514,12.94◆,13.46□,14.3,0,3640◆,5816□,12360,0
20210203,13.25,13.4,13.05,13.3,1762,12.99◆,13.43□,14.28□,0,3639□,5101□,11428□,0
20210204,13.2,13.35,13.2,13.2,1304,13.04◆,13.38□,14.26□,0,3391□,4909□,11075□,0
20210205,13.2,13.4,13.1,13.25,1496,13.17◆,13.34□,14.24□,0,2418□,4616□,10763□,0
20210217,13.45,13.75,13.3,13.55,4248,13.31◆,13.32□,14.23□,0,2665◆,4438□,10571□,0
20210218,13.6,14.3,13.55,14,5757,13.46◆,13.34◆,14.23□,0,2914◆,4381□,10384□,0
20210219,14,14,13.75,13.95,2110,13.59◆,13.35◆,14.21□,0,2983◆,4311□,10177□,0
20210222,13.95,14.05,13.85,14,2591,13.75◆,13.33□,14.19□,0,3241◆,3519□,9387□,0
20210223,13.95,14.6,13.9,14.45,8622,13.99◆,13.36◆,14.18□,0,4666◆,3594◆,9122□,0
20210224,14.55,14.55,14.25,14.35,5717,14.15◆,13.40◆,14.18□,0,4960◆,3644◆,8900□,0
20210225,14.5,15,14.25,14.9,14369,14.33◆,13.47◆,14.18◆,0,6682◆,4213◆,9002◆,0
20210226,14.65,15,14.5,14.95,8933,14.53◆,13.57◆,14.20◆,0,8047◆,4272◆,8977□,0
20210302,15.05,15.1,14.5,14.65,7107,14.66◆,13.65◆,14.20◆,0,8950◆,4435◆,8949□,0
20210303,14.65,15,14.55,14.9,5337,14.75◆,13.73◆,14.21◆,0,8293□,4585◆,8922□,0
20210304,14.85,15.25,14.7,14.95,13204,14.87◆,13.82◆,14.22◆,0,9790◆,5126◆,9036◆,0
20210305,14.95,14.95,14.45,14.65,10225,14.82□,13.89◆,14.21□,0,8961□,5549◆,8872□,0
20210308,14.65,15.35,14.65,15.2,19168,14.87◆,14.00◆,14.22◆,0,11008◆,6419◆,9005◆,0
20210309,15.4,15.55,15,15.15,13084,14.97◆,14.11◆,14.24◆,0,12204◆,6946◆,9061◆,0
20210310,15.05,15.1,14.7,14.8,5865,14.95□,14.22◆,14.24◆,0,12309◆,6921□,8954□,0
20210311,14.85,15,14.75,14.85,4914,14.93□,14.32◆,14.25◆,0,10651□,7016◆,8843□,0
20210312,14.85,15.1,14.7,15,4622,15.00◆,14.40◆,14.26◆,0,9531□,7022◆,8705□,0
