ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,А基[5],А基[20],А基[60],А基[120],А秖[5],А秖[20],А秖[60],А秖[120]
20201110,10,10.05,9.71,9.71,169703,0,0,0,0,0,0,0,0
20201111,9.73,9.77,9.42,9.45,187529,0,0,0,0,0,0,0,0
20201112,9.47,9.48,9.18,9.23,176294,0,0,0,0,0,0,0,0
20201113,9.21,9.26,9,9.23,208848,0,0,0,0,0,0,0,0
20201116,9.32,9.36,9.23,9.25,117481,9.38,0,0,0,171971,0,0,0
20201117,9.26,9.29,9.08,9.15,123078,9.26□,0,0,0,162646□,0,0,0
20201118,9.15,9.34,9.1,9.34,142447,9.24□,0,0,0,153630□,0,0,0
20201119,9.52,9.56,9.42,9.52,235082,9.30◆,0,0,0,165387◆,0,0,0
20201120,9.5,9.55,9.38,9.38,126651,9.33◆,0,0,0,148948□,0,0,0
20201123,9.44,9.57,9.44,9.54,92698,9.39◆,0,0,0,143991□,0,0,0
20201124,9.7,9.85,9.68,9.78,191377,9.51◆,0,0,0,157651◆,0,0,0
20201125,9.86,9.91,9.69,9.7,134336,9.59◆,0,0,0,156029□,0,0,0
20201126,9.79,9.94,9.74,9.85,161276,9.65◆,0,0,0,141268□,0,0,0
20201127,9.94,10.05,9.9,9.94,173997,9.76◆,0,0,0,150737◆,0,0,0
20201130,10.05,10.25,10,10.05,292545,9.87◆,0,0,0,190706◆,0,0,0
20201201,10.25,11.05,10.2,11,904496,10.11◆,0,0,0,333330◆,0,0,0
20201202,11.1,11.95,11.1,11.85,761735,10.54◆,0,0,0,458810◆,0,0,0
20201203,11.9,12.2,11.6,11.85,429133,10.94◆,0,0,0,512381◆,0,0,0
20201204,12.15,13,12.1,12.95,736953,11.54◆,0,0,0,624973◆,0,0,0
20201207,13.1,13.85,12.5,12.65,923178,12.06◆,10.17,0,0,751099◆,314442,0,0
20201208,12.75,13.05,12.5,12.75,289077,12.41◆,10.32◆,0,0,628015□,320411◆,0,0
20201209,13.1,13.7,12.9,13.55,511672,12.75◆,10.53◆,0,0,578003□,336618◆,0,0
20201210,13.35,13.75,13.05,13.25,445759,13.03◆,10.73◆,0,0,581328◆,350091◆,0,0
20201211,13.65,14,13.05,13.3,478829,13.10◆,10.93◆,0,0,529703□,363590◆,0,0
20201214,14.05,14.6,13.75,14.2,732609,13.41◆,11.18◆,0,0,491589□,394347◆,0,0
20201215,14.55,14.65,13.8,13.85,544436,13.63◆,11.42◆,0,0,542661◆,415414◆,0,0
20201216,14.15,14.2,13.7,13.95,290454,13.71◆,11.65◆,0,0,498418□,422815◆,0,0
